id;филиал;автор;оценка;дата;подтверждён;лайки;текст
297392819;На Шайкенова;Eduard;1;2026-09-17;да;0;"Хотели сделать заказ в 23:20 отказали, сказали касса закрыта и кухня тоже.
Хотя написано до 00:00 часов работает заведение.
Всегда заказывали только тут, разочаровали"
297390976;На Шайкенова;Bagdat Kuandyk;1;2026-09-17;да;0;Бургер ужас. Тонкая котлета и большая булка. Вкуса мясо нет совсем.
296533904;На Шайкенова;shpok b;5;2026-09-13;да;0;Кассирша қыз Аянат 👍🏻👍🏻 премияға лайық қыз екен
294506220;На Шайкенова;Нұргұл Утаралинова;1;2026-09-05;да;0;Были разочарованы донером( не тот вкус которым был изначально,не тот соус много толи томата то ли кетчупа горелый вкус,сами не рады были что пришли,может у вас поменялся повар?! У вас на протежении нескольких лет была одна рецептура,прошу взять на заметку
273990951;На Шайкенова;Rasul Bolat;1;2026-08-30;да;0;Нашар
273990551;На Шайкенова;Mirat Faizolla;3;2026-08-30;да;0;Хороши
267801355;На Шайкенова;Valet .;2;2026-08-12;да;0;Заказывали донеры, один пришел горелый другой к сожалению на конце порванный начинка была в пакете, на вкус ± нормально но очень чувствуется горелый вкус, конечно обидно что ты платишь полную цену за донер а тебе приходит горелый кусок, можно было и заменить
267462131;На Шайкенова;Нургуль Филипова;5;2026-08-11;да;0;Спасибо моим девочкам за соус в подарок! Всегда беру только у них. Хороший сервис, администратор отзывчивый всегда тоже! Качество с годами только лучше! Надеюсь вы всегда будете держать высокую планку
265645196;На Шайкенова;Алихан Арманулы;5;2026-08-06;да;0;"Имба донеры и цены тоже уместные, короче хотите быть крутым как Сагой то приходите сюда
Интерьер тоже отлично качественная мебель и столы комфортные"
264233376;На Шайкенова;Serzh Sam;2;2026-08-03;да;0;С курицей норм. Фарш говяжий вонючий.
263898212;На Шайкенова;Динара Букаева;5;2026-08-02;да;0;Огромное спасибо все вкусно и самое главное оперативно. Аянат умничка просто, все сделала как мы и просили 😍👍
263892124;На Шайкенова;Rasul Taimaskhanov;5;2026-08-02;да;0;"кассирша Аянат
 отлично выполняет свою работу классная девушка😍😍👍👍"
263878033;На Шайкенова;aya 🐰;5;2026-08-02;да;0;ну очеень вкусно и девушка на кассе Аянат очень хорошая классная добрая умная красивая 👍🏻 Сервис 😎👍🏻
263451770;На Шайкенова;Бейбарыс Санак;5;2026-07-31;да;0;"Все четко👍🏽😍😍
Донерлары да, бургерлері де дәмді✊🏽✊🏽"
261030617;На Шайкенова;Артем Майер;5;2026-07-24;да;0;Очень вкусные донеры, особенно Добер Стар. Порции большие, сытные, сочные. 100% рекомендую данное место
260093995;На Шайкенова;Альбина Калыбайкызы;5;2026-07-21;да;0;Іші таза, обслужка, интерьер, бәрі күштіі. Бірнеше рет бардық, біздін любимое место🔥
